id,name,genre,grade,country,year,poster,time,description,orig_name,pivgrade,urllive,urlclub
299,Мошенники дорама (2017),"Драма, Криминал",09.04,Южная Корея,2017,https://doramy.club/wp-content/uploads/2018/01/moshenniki.jpg,1 час 57 мин,"Один из крупнейших мошенников Чан Ду Чхиль создал финансовую пирамиду и обманул десятки тысяч людей, которые доверили ему свои деньги. Ему удается сбежать из страны благодаря поддельным документам, которые изготовил Хван Ю Сок. На следующий день, этот человек был найден повешенным и по официальной версии полиции был признан самоубийцей. \
Одним из главных героев криминальной драмы «Мошенники» становится сын Хвана, который знает, что его отец был убит. Он занимался мелким воровством на рынке, но теперь у него есть главная цель отыскать международного афериста Чан Ду Чхиль и отомстить за убийство своего отца. Впереди главного героя ожидают опасные приключения, встреча с продажными копами и долгие годы борьбы за справедливость.",Kkun,1.2,\N,https://doramy.club/4284-moshenniki.html
300,100 дней с мистером Высокомерие дорама (2004),"Комедия, Мелодрама",8.22,Южная Корея,2004,https://doramy.club/wp-content/uploads/2018/08/100-dnej-s-misterom-vysokomerie.jpg,1 час 35 мин,"События комедийного фильма «100 дней с мистером Высокомерие» вертятся вокруг старшеклассницы Кан Ха Ён. У девушки была счастливая и беззаботная жизнь, но все сильно усложняется, когда ее бросает парень. Их отношения были разорваны на сотый день после первой встречи, что становится для девушки настоящим стрессом. В порыве гнева она запустила бутылку и попала в автомобиль парня по имени Хён Джун.\
Теперь он требует от Ха Ён возместить ущерб, но у бедной девушки таких денег конечно же нет. Она даже попыталась скрыться с места преступления, но потеряла свой бумажник. Теперь ее преследует владелец разбитого авто и вместо денежной компенсации предлагает другой вариант, чтобы решить этот конфликт.",Naesarang ssagaji,1.7,https://doramalive.ru/dorama/100_days_with_mr_arrogant/,https://doramy.club/7560-100-dnej-s-misterom-vysokomerie.html
301,Любовь на камень-ножницы-бумага дорама (2013),"Комедия, Мелодрама",8.76,Южная Корея,2013,https://doramy.club/wp-content/uploads/2019/11/lyubov-na-kamen-nozhnicy-bumaga.jpg,35 мин,"Короткометражный фильм Ким Джи Уна «Любовь на камень-ножницы-бумага» расскажет зрителю историю парня по имени Ун Чхоль, которому так не везёт в любви, что девушки буквально сбегают со свидания с ним. Однажды главный герой встречает девушку своей мечты и предлагает сыграть ей в «камень-ножницы-бумага» в надежде, что на этот раз он точно победит. Но что выберет девушка, зная, каким будет дальнейший ход нашего героя?",Sarangui Gawibawibo,1.4,https://doramalive.ru/dorama/odin_prekrasnyy_den/,https://doramy.club/15247-lyubov-na-kamen-nozhnicy-bumaga.html
302,"12 детей, которые желают умереть дорама (2019)","Драма, Мистика",09.06,Япония,2019,https://doramy.club/wp-content/uploads/2019/09/12-detej-kotorye-zhelayut-umeret.jpg,1 час 57 мин,"Действия сериала «12 детей, которые желают умереть» разворачиваются вокруг группы молодых людей, которые оказываются в здании заброшенной больницы. Все они зашли на сайт, где им выдали четкие инструкции по совершению самоубийства. У каждого героя есть свои причины, следовать этим указаниям, но впереди их ожидает много сюрпризов. Дело в том, что среди молодых участников оказывается еще одна вероятная жертва, а так же возможный маньяк убийца, который затеял опасную игру.",Jyuni Nin no Shinitai Kodomotachi,1.2,https://doramalive.ru/dorama/12_suicidal_teens/,https://doramy.club/14459-12-detej-kotorye-zhelayut-umeret.html
303,Нефритовая династия дорама (2019),"Боевик, Мелодрама, Фэнтези",8.83,Китай,2019,https://doramy.club/wp-content/uploads/2019/11/nefritovaya-dinastiya.jpg,1 час 40 мин,"Началом действий фильма «Нефритовая династия» стал страшный случай расправы целой деревни крестьян у подножия горы Айне. Единственными выжившими были два мальчика, которые поклялись отомстить убийцам своих родителей, посвятив свою жизнь изучению боевых искусств в клане Айне.\
Но одному из братьев — Чжан Сяо Фэню за многие годы не удалось достичь даже 1 уровня, его считали самым худшим учеником. Пока однажды парень случайным образом не воссоздал древний демонический артефакт, соединив Сферу крови и Жезл призыва душ, с помощью которого он стал лучшим в своём клане. Но демонические силы начали поглощать Сяо Фэня и теперь в нём борются две энергии.",Zhu xian,1.2,https://doramalive.ru/dorama/nefritovaya_dinastiya_2019/,https://doramy.club/15155-1-nefritovaya-dinastiya.html
304,Влюбиться как звезда дорама (2015),"Комедия, Мелодрама",8.89,Китай,2015,https://doramy.club/wp-content/uploads/2019/04/vlyubitsya-kak-zvezda.jpg,1 час 38 мин.,"Главные герои романтического фильма «Влюбиться как звезда» встретились и полюбили друг-друга в начале своей карьеры. В те годы они мечтали стать знаменитыми и успешными в мире шоу бизнеса. Так случилась, что влюбленные расстались и встретились вновь спустя несколько лет. За это время парень стал настоящим популярным айдолом и он не может афишировать своими отношениями с противоположным полом. Он делает вид, что не узнал героиню, однако старые чувства все еще живы в сердце.",Peng Ran Xing Dong,1.2,https://doramalive.ru/dorama/fall_in_love_like_a_star/,https://doramy.club/11626-vlyubitsya-kak-zvezda.html
305,Шкаф дорама (2020),"Мистика, Триллер, Ужасы",8.12,Южная Корея,2020,https://doramy.club/wp-content/uploads/2020/05/shkaf.jpg,1 час 37 мин,"Как известно, смена обстановки, наверное, лучший способ, чтобы справиться с потерей любимого человека. Так думал и наш герой, переезжая с дочерью в старый дом в горах, после смерти жены. Вот только девочке дом не понравился. Она видит нечто в шкафу, а позже и вовсе исчезает. Отец пытается её найти, но безуспешно. Тогда на пороге появляется мужчина, обещающий отыскать пропавшую девочку.",Closet,1.2,https://doramalive.ru/dorama/the_closet/,https://doramy.club/19213-shkaf.html
306,Без сожаления дорама (2006),Драма,8.31,Южная Корея,2006,https://doramy.club/wp-content/uploads/2020/03/bez-sozhaleniya.jpg,2 часа 34 мин,"Су Мин, выросший в приюте, переезжает в Сеул. Парень не обладает какими-либо навыками, чтобы устроиться на высокооплачиваемую работу, поэтому подрабатывает то тут, то там. В итоге он устраивается в гей-бар, где обязан обслуживать состоятельных клиентов. Чжэ Мин — отпрыск богатой семьи, который вынужден скрывать свою ориентацию из-за консервативных родителей. Молодые люди знакомятся и Су Мин сразу приглянулся Чжэ Мину, но парень не настроен на отношения, тем более такие. Но под давлением богатенького бизнесмена Су Мину приходится принять и ответить на его чувства. Как сложится их дальнейшая судьба и смогут ли они поменяться ради друг друга, узнаем, посмотрев дораму «Без сожаления».",Huhwihaji anha,1.7,\N,https://doramy.club/17182-bez-sozhaleniya.html
307,Друг моего брата дорама (2018),Мелодрама,8.15,Япония,2018,https://doramy.club/wp-content/uploads/2019/08/drug-moego-brata.jpg,1 час 25 мин,"Японский фильм «Друг моего брата» повествует о жизни молодых людей, чьи будни заполнены школьным уроками, кружками и общением с друзьями. Нанасэ одна из милых учениц, которая после школы все свое время посвящает домашним хлопотам. Скромная от природы ученица ещё не подружилась с противоположным полом как её одноклассницы. Но однажды её брат приводит домой друга Нисино Соту, где происходит судьбоносная встреча. Ребятам предстоит преодолеть свои страхи и стеснения, чтобы испытать самые нежные чувства, которые именуются первой любовью.",Ani Tomo,1.5,https://doramalive.ru/dorama/brothers_friend/,https://doramy.club/13693-drug-moego-brata.html
308,Крепость Анси дорама (2018),"Боевик, Военный, Исторический",09.01,Южная Корея,2018,https://doramy.club/wp-content/uploads/2018/11/velikaya-bitva.jpg,2 часа 14 мин,"Зрелищный исторический фильм поведает о великой битве за крепость Анси. Действия разворачиваются в седьмом веке во времена правления династии Тан. Великий китайский император — Ли Шиминь с многочисленным войском завоевывает все новые территории и очередной его победой должно стать покорение сильного государства Когурё, расположенного на севере корейского полуострова. Его поход был успешным, а завоевание крепостей стоящих на пути к Когурё происходило даже без особых потерь. Однако в 645 году Ли Шиминь вместе с войском подходит к крепости Анси, на защиту которой становится генерал Когурё вместе с небольшим войском. Он любой ценой должен выстоять в неравном противостоянии, поскольку Анси является последним рубежом на пути к Когурё.",Ansi Fortress,1.5,https://doramalive.ru/dorama/the_great_battle/,https://doramy.club/9058-krepost-ansi.html
309,Я слышу солнечные вспышки дорама (2017),"Драма, Мелодрама",8.99,Япония,2017,https://doramy.club/wp-content/uploads/2020/06/ya-slyshu-solnechnye-vspyshki1.jpg,1 час 12 мин,"Таичи — громкий и неуклюжий парень, который отчаянно ищет работу, нуждаясь в деньгах, иногда не имея возможности даже просто пообедать. Однажды он сталкивается с молчаливым парнем, у которого просит его ланч, и тот, не раздумывая, отдаёт свою еду незнакомцу. Желая отблагодарить однокурсника за доброту, Таичи, разыскивая его, узнаёт, что парня зовут Сугихара Кохей и у него серьёзные нарушения слуха, из-за чего студенту необходима помощь с лекциями. Отыскав Кохея на том же месте, что и при первой встрече, юноша предлагает записывать для него лекции, а тот, в свою очередь, будет угощать его обедом. Молодой человек с радостью принимает предложение, ведь громкий голос Таичи — это единственное, что он так отчётливо слышит.",Hidamari ga Kikoeru,3.5,\N,https://doramy.club/20593-1-ya-slyshu-solnechnye-vspyshki.html
310,Чудесный призрак дорама (2018),"Детектив, Драма, Комедия, Мистика",09.04,Южная Корея,2018,https://doramy.club/wp-content/uploads/2018/11/chudesnyj-prizrak.jpg,1 час 36 мин.,"Сюжет фильма «Чудесный призрак» разворачивается вокруг офицера полиции Тхэ Джина, который попадает в аварию будучи при исполнении. Его тело оказывается в коме, а душа остается сама по себе словно чудесный призрак. Единственный человек, который может видеть нашего призрака это безразличный к справедливости и правосудию владелец секции по дзюдо — Чан Су. После смерти жены он заботится о своей дочери, которую любит больше всего на свете. Вот только с появлением назойливого призрака налаженная жизнь Чан Су меняется. Дело в том, что Тхэ Джин хочет довести начатое дело до конца и Чан Су оказывается единственным человеком, который способен помочь ему восстановить правосудие.",Wonderful Ghost,1.5,https://doramalive.ru/dorama/wonderful_ghost/,https://doramy.club/8961-chudesnyj-prizrak.html
